index,PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
128,2004-12-6,14.0,,14.0,-6.0,-6.0,-6.0,13.0,13.0,13.0,,,,10.0,10.0,10.0,4.0,4.0,,0.0,,,-1.0
129,2004-12-7,18.0,17.0,11.0,1.0,0.0,-1.0,29.0,25.0,21.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
130,2004-12-8,14.0,,14.0,2.0,2.0,2.0,32.0,32.0,32.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
131,2004-12-9,17.0,16.0,12.0,2.0,0.0,-2.0,30.0,28.0,26.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3137,2004-6-1,22.0,21.0,21.0,17.0,16.0,16.0,76.0,70.0,63.0,,,,10.0,10.0,10.0,6.0,4.0,,1.0,,,-1.0
3146,2004-6-10,26.0,,24.0,15.0,15.0,15.0,47.0,47.0,47.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3147,2004-6-11,26.0,,26.0,16.0,16.0,16.0,44.0,44.0,44.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3148,2004-6-12,,,,,,,,,,,,,,,,,,,,,,
3149,2004-6-13,,,,,,,,,,,,,,,,,,,,,,
3150,2004-6-14,,,,,,,,,,,,,,,,,,,,,,
3151,2004-6-15,,,,,,,,,,,,,,,,,,,,,,
3152,2004-6-16,,,,,,,,,,,,,,,,,,,,,,
3153,2004-6-17,,,,,,,,,,,,,,,,,,,,,,
3154,2004-6-18,,,,,,,,,,,,,,,,,,,,,,
3155,2004-6-19,,,,,,,,,,,,,,,,,,,,,,
3138,2004-6-2,24.0,24.0,19.0,16.0,14.0,13.0,58.0,54.0,51.0,,,,10.0,10.0,10.0,6.0,4.0,,0.3,,,-1.0
3156,2004-6-20,,,,,,,,,,,,,,,,,,,,,,
3157,2004-6-21,,,,,,,,,,,,,,,,,,,,,,
3158,2004-6-22,,,,,,,,,,,,,,,,,,,,,,
3159,2004-6-23,,,,,,,,,,,,,,,,,,,,,,
3160,2004-6-24,,,,,,,,,,,,,,,,,,,,,,
3161,2004-6-25,,,,,,,,,,,,,,,,,,,,,,
3162,2004-6-26,,,,,,,,,,,,,,,,,,,,,,
3163,2004-6-27,,,,,,,,,,,,,,,,,,,,,,
3164,2004-6-28,,,,,,,,,,,,,,,,,,,,,,
3165,2004-6-29,,,,,,,,,,,,,,,,,,,,,,
3139,2004-6-3,22.0,20.0,20.0,15.0,15.0,15.0,63.0,61.0,59.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3166,2004-6-30,,,,,,,,,,,,,,,,,,,,,,
3140,2004-6-4,29.0,22.0,22.0,15.0,15.0,15.0,55.0,44.0,32.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
3141,2004-6-5,21.0,21.0,21.0,15.0,14.0,13.0,61.0,58.0,54.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
3142,2004-6-6,22.0,21.0,21.0,13.0,13.0,13.0,54.0,54.0,54.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3143,2004-6-7,22.0,22.0,18.0,13.0,12.0,12.0,67.0,55.0,43.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3144,2004-6-8,22.0,22.0,21.0,13.0,12.0,10.0,54.0,45.0,36.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3145,2004-6-9,23.0,,22.0,14.0,14.0,14.0,51.0,51.0,51.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2681,2004-7-1,26.0,22.0,17.0,16.0,13.0,6.0,45.0,43.0,39.0,,,,10.0,8.0,4.0,6.0,3.0,,0.0,,,-1.0
2690,2004-7-10,23.0,,22.0,15.0,15.0,15.0,59.0,59.0,59.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2691,2004-7-11,23.0,,21.0,16.0,16.0,16.0,63.0,63.0,63.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2692,2004-7-12,23.0,23.0,21.0,16.0,16.0,16.0,63.0,58.0,54.0,,,,10.0,10.0,10.0,4.0,2.0,,0.0,,,-1.0
2693,2004-7-13,23.0,21.0,21.0,18.0,17.0,16.0,68.0,66.0,63.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2694,2004-7-14,22.0,21.0,21.0,15.0,14.0,14.0,59.0,56.0,54.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2695,2004-7-15,23.0,23.0,22.0,17.0,16.0,15.0,59.0,58.0,58.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2696,2004-7-16,24.0,23.0,23.0,13.0,12.0,12.0,42.0,40.0,39.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2697,2004-7-17,23.0,22.0,21.0,12.0,11.0,10.0,43.0,42.0,42.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2698,2004-7-18,24.0,22.0,22.0,13.0,13.0,13.0,50.0,48.0,47.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2699,2004-7-19,24.0,19.0,14.0,14.0,13.0,12.0,81.0,56.0,43.0,,,,10.0,10.0,10.0,6.0,1.0,,0.0,,,-1.0
2682,2004-7-2,23.0,23.0,22.0,17.0,16.0,15.0,64.0,62.0,59.0,,,,10.0,10.0,10.0,0.0,0.0,,10.0,,,-1.0
2700,2004-7-20,21.0,,21.0,12.0,12.0,12.0,46.0,46.0,46.0,,,,10.0,10.0,10.0,9.0,9.0,,0.0,,,-1.0
2701,2004-7-21,25.0,18.0,14.0,14.0,11.0,5.0,46.0,45.0,43.0,,,,10.0,10.0,10.0,6.0,1.0,,0.0,,,-1.0
2702,2004-7-22,26.0,,24.0,17.0,17.0,17.0,55.0,55.0,55.0,,,,4.0,4.0,4.0,6.0,6.0,,0.0,,,-1.0
2703,2004-7-23,24.0,,21.0,16.0,16.0,16.0,63.0,63.0,63.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2704,2004-7-24,,,,,,,,,,,,,,,,,,,,,,
2705,2004-7-25,,,,,,,,,,,,,,,,,,,,,,
2706,2004-7-26,,,,,,,,,,,,,,,,,,,,,,
2707,2004-7-27,,,,,,,,,,,,,,,,,,,,,,
2708,2004-7-28,,,,,,,,,,,,,,,,,,,,,,
2709,2004-7-29,,,,,,,,,,,,,,,,,,,,,,
2683,2004-7-3,24.0,19.0,19.0,17.0,14.0,11.0,63.0,56.0,49.0,,,,10.0,10.0,10.0,6.0,6.0,,2.0,,,-1.0
2710,2004-7-30,,,,,,,,,,,,,,,,,,,,,,
2711,2004-7-31,,,,,,,,,,,,,,,,,,,,,,
2684,2004-7-4,25.0,25.0,23.0,20.0,19.0,18.0,77.0,66.0,55.0,,,,10.0,7.0,4.0,0.0,0.0,,0.0,,,-1.0
2685,2004-7-5,25.0,16.0,12.0,20.0,19.0,18.0,77.0,72.0,68.0,,,,10.0,7.0,4.0,0.0,0.0,,0.0,,,-1.0
2686,2004-7-6,23.0,15.0,15.0,21.0,17.0,13.0,87.0,86.0,86.0,,,,0.1,0.1,0.1,0.0,0.0,,0.0,8.0,,-1.0
2687,2004-7-7,22.0,22.0,22.0,20.0,20.0,20.0,80.0,80.0,80.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2688,2004-7-8,23.0,23.0,21.0,18.0,17.0,16.0,68.0,68.0,67.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2689,2004-7-9,22.0,13.0,13.0,17.0,14.0,11.0,78.0,73.0,68.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
4200,2004-8-1,23.0,,22.0,18.0,18.0,18.0,68.0,68.0,68.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
4209,2004-8-10,21.0,,21.0,20.0,20.0,20.0,94.0,94.0,94.0,,,,0.0,0.0,0.0,0.0,0.0,,3.0,8.0,,-1.0
4210,2004-8-11,20.0,,19.0,18.0,18.0,18.0,89.0,89.0,89.0,,,,0.1,0.1,0.1,0.0,0.0,,0.0,8.0,,-1.0
4211,2004-8-12,22.0,22.0,19.0,19.0,18.0,17.0,95.0,79.0,63.0,,,,10.0,5.0,0.1,6.0,4.0,,0.0,8.0,,-1.0
4212,2004-8-13,21.0,19.0,19.0,18.0,18.0,18.0,89.0,86.0,83.0,,,,0.1,0.1,0.1,0.0,0.0,,0.0,8.0,,-1.0
4213,2004-8-14,22.0,17.0,17.0,17.0,16.0,14.0,83.0,82.0,80.0,,,,10.0,10.0,10.0,6.0,4.0,,25.0,8.0,,-1.0
4214,2004-8-15,24.0,24.0,21.0,20.0,18.0,17.0,88.0,73.0,58.0,,,,10.0,5.0,0.0,6.0,6.0,,0.0,8.0,,-1.0
4215,2004-8-16,20.0,,19.0,16.0,16.0,16.0,78.0,78.0,78.0,,,,4.0,4.0,4.0,6.0,6.0,,1.0,,Rain-Thunderstorm,-1.0
4216,2004-8-17,24.0,24.0,20.0,18.0,18.0,18.0,88.0,75.0,62.0,,,,10.0,5.0,0.1,6.0,6.0,,0.0,8.0,,-1.0
4217,2004-8-18,23.0,23.0,19.0,17.0,16.0,16.0,78.0,70.0,62.0,,,,10.0,6.0,2.0,6.0,6.0,,10.0,,,-1.0
4218,2004-8-19,21.0,,21.0,16.0,16.0,16.0,63.0,63.0,63.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
4201,2004-8-2,22.0,,22.0,20.0,20.0,20.0,84.0,84.0,84.0,,,,0.0,0.0,0.0,6.0,6.0,,0.0,8.0,,-1.0
4219,2004-8-20,24.0,24.0,20.0,19.0,18.0,18.0,88.0,78.0,67.0,,,,10.0,5.0,0.1,6.0,4.0,,0.0,8.0,,-1.0
4220,2004-8-21,22.0,21.0,20.0,18.0,16.0,15.0,77.0,72.0,68.0,,,,10.0,10.0,10.0,4.0,4.0,,9.0,,,-1.0
4221,2004-8-22,24.0,23.0,21.0,18.0,17.0,16.0,77.0,66.0,54.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
4222,2004-8-23,24.0,23.0,22.0,18.0,17.0,16.0,76.0,65.0,54.0,,,,10.0,10.0,10.0,6.0,2.0,,0.0,,,-1.0
4223,2004-8-24,23.0,23.0,21.0,13.0,12.0,12.0,50.0,44.0,39.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
4224,2004-8-25,24.0,,24.0,16.0,16.0,16.0,54.0,54.0,54.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
4225,2004-8-26,,,,,,,,,,,,,,,,,,,,,,
4226,2004-8-27,,,,,,,,,,,,,,,,,,,,,,
4227,2004-8-28,,,,,,,,,,,,,,,,,,,,,,
4228,2004-8-29,,,,,,,,,,,,,,,,,,,,,,
4202,2004-8-3,23.0,21.0,21.0,21.0,20.0,20.0,88.0,85.0,82.0,,,,0.0,0.0,0.0,56.0,22.0,,0.0,8.0,,-1.0
4229,2004-8-30,,,,,,,,,,,,,,,,,,,,,,
4230,2004-8-31,,,,,,,,,,,,,,,,,,,,,,
4203,2004-8-4,22.0,22.0,21.0,20.0,19.0,18.0,88.0,78.0,68.0,,,,10.0,5.0,0.1,4.0,2.0,,0.0,8.0,,-1.0
4204,2004-8-5,21.0,,20.0,18.0,18.0,18.0,88.0,88.0,88.0,,,,0.1,0.1,0.1,6.0,6.0,,0.0,8.0,,-1.0
4205,2004-8-6,22.0,,22.0,17.0,17.0,17.0,63.0,63.0,63.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
4206,2004-8-7,23.0,21.0,21.0,18.0,15.0,12.0,77.0,62.0,46.0,,,,10.0,10.0,10.0,15.0,9.0,,1.0,,,-1.0
4207,2004-8-8,24.0,,21.0,16.0,16.0,16.0,68.0,68.0,68.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
4208,2004-8-9,23.0,,20.0,18.0,18.0,18.0,88.0,88.0,88.0,,,,0.0,0.0,0.0,6.0,6.0,,0.0,8.0,,-1.0
3411,2004-9-1,23.0,14.0,14.0,10.0,9.0,8.0,56.0,44.0,31.0,,,,10.0,7.0,4.0,9.0,7.0,,0.0,,,-1.0
3420,2004-9-10,21.0,20.0,20.0,19.0,18.0,18.0,88.0,86.0,83.0,,,,0.1,0.1,0.1,6.0,2.0,,0.0,8.0,,-1.0
3421,2004-9-11,21.0,21.0,20.0,19.0,18.0,18.0,88.0,88.0,88.0,,,,0.1,0.1,0.1,6.0,6.0,,0.0,8.0,,-1.0
3422,2004-9-12,22.0,,22.0,18.0,18.0,18.0,73.0,73.0,73.0,,,,0.1,0.1,0.1,6.0,6.0,,0.0,8.0,,-1.0
3423,2004-9-13,22.0,23.0,21.0,19.0,18.0,18.0,83.0,77.0,71.0,,,,4.0,2.0,0.1,0.0,0.0,,5.0,8.0,,-1.0
3424,2004-9-14,20.0,16.0,14.0,17.0,15.0,12.0,92.0,87.0,80.0,,,,4.0,1.4,0.0,13.0,4.0,,1.0,8.0,,-1.0
3425,2004-9-15,20.0,28.0,17.0,17.0,16.0,15.0,85.0,62.0,40.0,,,,4.0,2.0,0.1,4.0,2.0,,1.0,8.0,,-1.0
3426,2004-9-16,19.0,18.0,18.0,17.0,16.0,15.0,89.0,81.0,73.0,,,,10.0,7.0,4.0,6.0,6.0,,0.0,,,-1.0
3427,2004-9-17,20.0,19.0,19.0,16.0,15.0,14.0,72.0,70.0,67.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3428,2004-9-18,20.0,19.0,19.0,16.0,14.0,13.0,78.0,68.0,59.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3429,2004-9-19,22.0,20.0,18.0,16.0,14.0,10.0,72.0,64.0,52.0,,,,10.0,8.0,4.0,6.0,1.0,,0.0,,,-1.0
3412,2004-9-2,23.0,,23.0,13.0,13.0,13.0,43.0,43.0,43.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
